Time,Voltage
0.0,0.0
1.0000100001000011e-07,0.0
2.0000200002000021e-07,0.0
3.0000300003000034e-07,0.0
4.0000400004000043e-07,0.0
5.000050000500006e-07,0.0
6.000060000600007e-07,0.0
7.000070000700008e-07,0.0
8.000080000800009e-07,0.0
9.00009000090001e-07,0.0
1.0000100001000012e-06,0.0
1.1000110001100011e-06,0.0
1.2000120001200013e-06,0.0
1.3000130001300013e-06,0.0
1.4000140001400015e-06,0.0
1.5000150001500015e-06,0.0
1.6000160001600017e-06,0.0
1.700017000170002e-06,0.0
1.800018000180002e-06,0.0
1.900019000190002e-06,0.0
2.0000200002000023e-06,0.0
2.100021000210002e-06,0.0
2.2000220002200023e-06,0.0
2.3000230002300025e-06,0.0
2.4000240002400027e-06,0.0
2.500025000250003e-06,0.0
2.6000260002600027e-06,0.0
2.700027000270003e-06,0.0
2.800028000280003e-06,0.0
2.9000290002900033e-06,0.0
3.000030000300003e-06,0.0
3.1000310003100032e-06,0.0
3.2000320003200034e-06,0.0
3.3000330003300036e-06,0.0
3.400034000340004e-06,0.0
3.5000350003500036e-06,0.0
3.600036000360004e-06,0.0
3.700037000370004e-06,0.0
3.800038000380004e-06,0.0
3.900039000390004e-06,0.0
4.000040000400005e-06,0.0
4.100041000410005e-06,0.0
4.200042000420004e-06,0.0
4.300043000430004e-06,0.0
4.4000440004400046e-06,0.0
4.500045000450005e-06,0.0
4.600046000460005e-06,0.0
4.700047000470005e-06,0.0
4.800048000480005e-06,0.0
4.9000490004900056e-06,0.0
5.000050000500006e-06,0.0
5.100051000510005e-06,0.0
5.200052000520005e-06,0.0
5.3000530005300055e-06,0.0
5.400054000540006e-06,0.0
5.500055000550006e-06,0.0
5.600056000560006e-06,0.0
5.700057000570006e-06,0.0
5.8000580005800065e-06,0.0
5.900059000590007e-06,0.0
6.000060000600006e-06,0.0
6.100061000610006e-06,0.0
6.2000620006200065e-06,0.0
6.300063000630007e-06,0.0
6.400064000640007e-06,0.0
6.500065000650007e-06,0.0
6.600066000660007e-06,0.0
6.7000670006700075e-06,0.0
6.800068000680008e-06,0.0
6.900069000690007e-06,0.0
7.000070000700007e-06,0.0
7.100071000710007e-06,0.0
7.200072000720008e-06,0.0
7.300073000730008e-06,0.0
7.400074000740008e-06,0.0
7.500075000750008e-06,0.0
7.600076000760008e-06,0.0
7.700077000770009e-06,0.0
7.800078000780009e-06,0.0
7.900079000790009e-06,0.0
8.00008000080001e-06,0.0
8.10008100081001e-06,0.0
8.20008200082001e-06,0.0
8.300083000830008e-06,0.0
8.400084000840008e-06,0.0
8.500085000850009e-06,0.0
8.600086000860009e-06,0.0
8.700087000870009e-06,0.0
8.800088000880009e-06,0.0
8.90008900089001e-06,0.0
9.00009000090001e-06,0.0
9.10009100091001e-06,0.0
9.20009200092001e-06,0.0
9.30009300093001e-06,0.0
9.40009400094001e-06,0.0
9.50009500095001e-06,0.0
9.60009600096001e-06,0.0
9.700097000970011e-06,0.0
9.800098000980011e-06,0.0
9.900099000990011e-06,0.0
1.0000100001000012e-05,0.0
1.010010100101001e-05,0.0
1.020010200102001e-05,0.0
1.030010300103001e-05,0.0
1.040010400104001e-05,0.0
1.050010500105001e-05,0.0
1.0600106001060011e-05,0.0
1.0700107001070011e-05,0.0
1.0800108001080011e-05,0.0
1.0900109001090012e-05,0.0
1.1000110001100012e-05,0.0
1.1100111001110012e-05,0.0
1.1200112001120012e-05,0.0
1.1300113001130012e-05,0.0
1.1400114001140013e-05,0.0
1.1500115001150013e-05,0.0
1.1600116001160013e-05,0.0
1.1700117001170013e-05,0.0
1.1800118001180013e-05,0.0
1.1900119001190012e-05,0.0
1.2000120001200012e-05,0.0
1.2100121001210012e-05,0.0
1.2200122001220013e-05,0.0
1.2300123001230013e-05,0.0
1.2400124001240013e-05,0.0
1.2500125001250013e-05,0.0
1.2600126001260013e-05,0.0
1.2700127001270014e-05,0.0
1.2800128001280014e-05,0.0
1.2900129001290014e-05,0.0
1.3000130001300014e-05,0.0
1.3100131001310014e-05,0.0
1.3200132001320015e-05,0.0
1.3300133001330015e-05,0.0
1.3400134001340015e-05,0.0
1.3500135001350015e-05,0.0
1.3600136001360015e-05,0.0
1.3700137001370016e-05,0.0
1.3800138001380014e-05,0.0
1.3900139001390014e-05,0.0
1.4000140001400014e-05,0.0
1.4100141001410015e-05,0.0
1.4200142001420015e-05,0.0
1.4300143001430015e-05,0.0
1.4400144001440015e-05,0.0
1.4500145001450015e-05,0.0
1.4600146001460016e-05,0.0
1.4700147001470016e-05,0.0
1.4800148001480016e-05,0.0
1.4900149001490016e-05,0.0
1.5000150001500016e-05,0.0
1.5100151001510017e-05,0.0
1.5200152001520017e-05,0.0
1.5300153001530017e-05,0.0
1.5400154001540017e-05,0.0
1.5500155001550017e-05,0.0
1.5600156001560018e-05,0.0
1.5700157001570018e-05,0.0
1.5800158001580018e-05,0.0
1.5900159001590018e-05,0.0
1.600016000160002e-05,0.0
1.610016100161002e-05,0.0
1.620016200162002e-05,0.0
1.630016300163002e-05,0.0
1.640016400164002e-05,0.0
1.6500165001650016e-05,0.0
1.6600166001660016e-05,0.0
1.6700167001670016e-05,0.0
1.6800168001680017e-05,0.0
1.6900169001690017e-05,0.0
1.7000170001700017e-05,0.0
1.7100171001710017e-05,0.0
1.7200172001720017e-05,0.0
1.7300173001730018e-05,0.0
1.7400174001740018e-05,0.0
1.7500175001750018e-05,0.0
1.7600176001760018e-05,0.0
1.770017700177002e-05,0.0
1.780017800178002e-05,0.0
1.790017900179002e-05,0.0
1.800018000180002e-05,0.0
1.810018100181002e-05,0.0
1.820018200182002e-05,0.0
1.830018300183002e-05,0.0
1.840018400184002e-05,0.0
1.850018500185002e-05,0.0
1.860018600186002e-05,0.0
1.870018700187002e-05,0.0
1.880018800188002e-05,0.0
1.890018900189002e-05,0.0
1.900019000190002e-05,0.0
1.910019100191002e-05,0.0
1.920019200192002e-05,0.0
1.930019300193002e-05,0.0
1.9400194001940022e-05,0.0
1.9500195001950022e-05,0.0
1.9600196001960022e-05,0.0
1.9700197001970022e-05,0.0
1.9800198001980023e-05,0.0
1.9900199001990023e-05,0.0
2.0000200002000023e-05,0.0
2.0100201002010023e-05,0.0
2.020020200202002e-05,0.0
2.030020300203002e-05,0.0
2.040020400204002e-05,0.0
2.050020500205002e-05,0.0
